Time,Open,High,Low,Close,Adj Close,logClose
1,138.949997,138.949997,128,129.050003,128.84523,4.860199949
2,129.050003,147.149994,129.050003,142.449997,142.223953,4.95899104
3,142,150.949997,136.550003,143.899994,143.671646,4.969118572
4,146,155.449997,132.100006,134.649994,134.436325,4.902678775
5,136.399994,147.449997,134.100006,141.399994,141.175613,4.951592711
6,136.899994,139.350006,127.300003,137.149994,136.932373,4.921075174
7,137.850006,145,133.199997,141.050003,140.826187,4.949114459
8,144.800003,146.399994,134.350006,138.100006,137.880859,4.927978104
9,138.100006,153.600006,138.100006,148.350006,148.114609,4.999574387
10,150,157.899994,146.149994,152.449997,152.208099,5.026836654
11,155.600006,165.449997,141,152.300003,152.058334,5.02585228
12,151.800003,156.850006,142.75,152.699997,152.457703,5.028475193
13,154.5,169.199997,153,162.149994,161.892685,5.088521796
14,161.399994,164.149994,155.25,160,159.746124,5.075173815
15,161.949997,170.649994,158.5,159.699997,159.446594,5.073297036
16,161.449997,162.449997,145.199997,151.600006,151.359451,5.021245513
17,153.149994,172,152.100006,168.75,168.482224,5.12841833
18,168.649994,190.850006,163,175.25,174.971909,5.166213526
19,175.25,195,171.199997,192.899994,192.593887,5.262171889
20,192.899994,204.5,190.199997,196.199997,195.888672,5.279134532
21,197.399994,245.399994,196.050003,233.350006,232.979721,5.452539498
22,236,322.399994,235,288.25,287.792603,5.663828159
23,290,306,270.25,285.149994,284.69751,5.653015337
24,285.149994,307.950012,273.549988,296,295.530273,5.690359454
25,301.799988,304,270,291.549988,291.087341,5.675211477
26,293,296.25,257.5,280.299988,279.855194,5.635860415
27,283.100006,311.950012,282.100006,308.149994,307.661011,5.730586658
28,311.5,335.600006,307.350006,313,312.503326,5.746203191
29,315,325.850006,305.350006,307,306.512817,5.726847748
30,309.899994,327.850006,306,315.450012,314.949463,5.754000229
31,318,347.5,303,339.700012,339.16098,5.82806291
32,339.100006,359.5,333.049988,352.100006,351.54126,5.863915243
33,354,372.850006,351.850006,371.25,370.660889,5.91687569
34,368.600006,404.700012,368.600006,388.299988,387.683838,5.961778206
35,390.100006,415.5,383.100006,398.399994,397.767822,5.987456511
36,398.399994,461.899994,395.100006,445.950012,445.242401,6.100206865
37,446,466.350006,438.049988,449.799988,449.086243,6.108803013
38,451,473.950012,446.549988,455.149994,454.427765,6.120627022
39,454,479.850006,409.649994,473.649994,472.898438,6.16046864
40,473,507,435.75,491.149994,490.370636,6.196749568
41,492,526.599976,484.25,518,517.17804,6.249975242
42,520.599976,541,510.5,527.299988,526.463257,6.267769624
43,528,552.950012,502.049988,526.799988,525.964111,6.266820947
44,530.25,534.400024,501.350006,506.649994,505.846069,6.227820418
45,510.5,611.700012,496.899994,595.349976,594.405273,6.389149428
46,605.400024,724.450012,603.549988,718.950012,717.809204,6.577791831
47,725,831,707.650024,781.900024,780.659302,6.661726886
48,786,862.400024,780.549988,833.650024,832.327148,6.725813679
49,840.75,944.900024,836.450012,909.900024,908.456238,6.81333473
50,918.099976,928.400024,888.700012,894.099976,892.681274,6.795817599
51,898.75,905.400024,840.200012,889.650024,888.238342,6.790828154
52,892.900024,1093,883.450012,988.299988,986.73175,6.895986283
53,988.299988,1116.050049,988,1107.199951,1105.442993,7.009589541
54,1127,1251.599976,1098.849976,1201.400024,1199.493652,7.091242842
55,1177.400024,1192,1051.050049,1159,1157.160889,7.055312843
56,1100,1182.900024,1089,1157.599976,1155.763062,7.054104155
57,1160,1213.949951,1143,1158.699951,1156.861328,7.055053924
58,1145.099976,1322.400024,1122.650024,1298.900024,1296.838867,7.16927305
59,1294.900024,1328.5,1213.349976,1220.349976,1218.413574,7.106892962
60,1230,1351.550049,1227.449951,1315.099976,1313.013184,7.181667969
61,1321.699951,1342,1254.25,1302.599976,1300.532959,7.172117528
62,1307.050049,1713.550049,1292,1700.949951,1698.250977,7.438942169
63,1715,1717.199951,1571.849976,1601.599976,1599.058472,7.378758394
64,1441.449951,1572.599976,1201.199951,1487.5,1485.139648,7.304852137
65,1490,1582,1444.849976,1519.449951,1517.038818,7.326103674
66,1524.900024,1565,1411.550049,1422.050049,1419.793579,7.259854806
67,1427,1456.599976,1350.599976,1431.349976,1430.027344,7.266373317
68,1442,1449,1385.199951,1395.5,1394.210449,7.241008053
69,1390,1434.849976,1332.75,1401.650024,1400.354736,7.24540541
70,1399.800049,1449.5,1378.150024,1420.25,1418.937622,7.258588191
71,1435,1555,1407.400024,1536.650024,1535.230103,7.337360017
72,1546.699951,1565,1407,1437,1435.671997,7.270312886
73,1431.5,1496.800049,1411,1430.099976,1428.778442,7.265499634
74,1415.050049,1515,1361.550049,1506.050049,1504.658325,7.317245641
75,1513.75,1600.849976,1493.300049,1565.550049,1564.103394,7.35599251
76,1572,1628.449951,1535.050049,1545,1543.572388,7.342779189
77,1548,1557,1465.75,1480.25,1478.882202,7.299966271
78,1464.900024,1516,1381.349976,1461.699951,1460.349121,7.287355387
79,1462,1557.900024,1422.650024,1458.699951,1457.352051,7.285300874
80,1471,1569.449951,1460.099976,1547.900024,1546.469727,7.344654468
81,1553,1656,1514.5,1646.349976,1644.828613,7.406315981
82,1672.949951,1672.949951,1537,1543,1541.574219,7.341483852
83,1545,1581.150024,1367.699951,1423.599976,1422.284424,7.260944137
84,1436,1511.5,1411.199951,1489.449951,1488.073608,7.30616217
85,1495,1719.5,1485.650024,1705.199951,1703.624146,7.441437656
86,1713.75,1766.550049,1640,1688.75,1687.189453,7.431743889
87,1691.400024,1788.900024,1610.050049,1669.550049,1668.007202,7.420309437
88,1655,1745,1609.849976,1708.099976,1706.521484,7.443136907
89,1710,1788,1640,1740.400024,1738.791748,7.461870265
90,1755,1762.199951,1640,1645.300049,1643.779663,7.405678047
91,1629,1703.949951,1555.199951,1698.199951,1696.630737,7.437324117
92,1694.75,1760,1685,1709.449951,1707.870239,7.443926932
93,1713,1744.650024,1675.599976,1699.099976,1697.529785,7.437853964
94,1707.550049,1890.449951,1699.099976,1870.25,1868.521729,7.533827391
95,1876,1908.5,1810.75,1828.349976,1826.660522,7.511169187
96,1822,1827.449951,1654.5,1693.699951,1692.134766,7.434670735
97,1708.949951,1787,1699.150024,1757.300049,1755.676147,7.471533847
98,1765,1809,1677.050049,1764.300049,1762.6698,7.475509318
99,1736.300049,1776,1627.849976,1736.300049,1734.695557,7.45951172
100,1738.800049,1738.800049,1528.800049,1618.699951,1617.204102,7.389378607
101,1603.75,1678.199951,1592.25,1615,1613.507568,7.387090236
102,1590,1757,1539.300049,1734.099976,1732.497559,7.458243812
103,1732,1823.599976,1686.650024,1819.650024,1817.968506,7.506399467
104,1836.050049,1878,1790,1867,1865.274658,7.532088144
105,1876.900024,2049,1851.050049,2043.650024,2041.761597,7.622492716
106,2050,2214.949951,2032,2170.949951,2168.943848,7.682920116
107,2181.850098,2219,2155,2199.449951,2197.41748,7.695962586
108,2179.800049,2306,2140.100098,2273.300049,2271.199219,7.728987821
109,2259.949951,2420.949951,2242.600098,2332,2329.844971,7.754481547
110,2325,2362.899902,2200,2247.699951,2245.623047,7.717662728
111,2229.5,2244.199951,2011.050049,2054.149902,2052.251709,7.627617368
112,2082.649902,2232.399902,2057.649902,2219.550049,2217.499023,7.705059774
113,2231.75,2245,1906.199951,2080.149902,2078.227539,7.640195238
114,2120,2242.25,2102,2190,2187.976318,7.691656823
115,2188.5,2254.699951,2155,2203.100098,2201.064209,7.697620783
116,2172.5,2274,2053.100098,2095.800049,2093.863281,7.647690644
117,2107.300049,2177,2025,2161.449951,2159.452637,7.678534549
118,2189,2248.5,2138.25,2232.199951,2230.137207,7.710742903
119,2232.199951,2303.600098,2228.350098,2293.050049,2290.931152,7.737638109
120,2293.050049,2422.949951,2291.050049,2405.25,2403.027344,7.785409127
121,2424,2514.050049,2405,2499.399902,2498.151855,7.823805943
122,2505,2622,2500,2569.199951,2567.916992,7.851349826
123,2575.850098,2767.649902,2569.199951,2698.399902,2697.05249,7.900414247
124,2700,2871.149902,2695.649902,2864.550049,2863.119629,7.960166566
125,2864.550049,3258.899902,2864.550049,3130.199951,3128.636719,8.048852164
126,3134,3191.800049,2927.399902,3139.550049,3137.982178,8.051834772
127,3055,3369.399902,3037.850098,3355.800049,3354.124268,8.118445486
128,3374.100098,3507.949951,3313,3451.199951,3449.476563,8.146477261
129,3465,3866.949951,3421.300049,3702.199951,3700.351074,8.216682503
130,3718.949951,3885,3571.25,3674.300049,3672.465332,8.209117931
131,3646.300049,3664.75,3371.100098,3455.75,3454.024414,8.147794789
132,3440,3460.050049,3110.199951,3277.600098,3275.963379,8.094866756
133,3234,3338,3145,3209.5,3207.897217,8.073870441
134,3211,3382,3136.100098,3311.899902,3310.246094,8.105277292
135,3325,3387.949951,3287.399902,3323.300049,3321.640381,8.108713559
136,3339.949951,3849.800049,3326.100098,3833.25,3831.335693,8.251468286
137,3852.449951,4048.949951,3820,4008.850098,4006.848145,8.296259721
138,3999,4096,3863.550049,4019.800049,4017.792725,8.298987441
139,4019.949951,4061.850098,3821,3901.100098,3899.1521,8.269013869
140,3899.399902,3963.800049,3864.050049,3922.5,3920.54126,8.274484485
141,3928.899902,4094,3810.050049,3996.800049,3994.804199,8.293249332
142,3997,4092.050049,3944.050049,3980.800049,3978.812256,8.289238095
143,3988,4190,3616.800049,3642.199951,3640.381104,8.20034316
144,3653,3898,3620,3858.350098,3856.42334,8.257994935
145,3870,3874.949951,3756.899902,3824.25,3822.340332,8.249117649
146,3843,3880,3555,3721.149902,3719.291748,8.221788013
147,3720,3739.949951,3426.699951,3456.149902,3454.424072,8.147910503
148,3443.050049,3508,2712,2761.449951,2760.071045,7.923511165
149,2850,3073.600098,1017.450012,1586.800049,1586.00769,7.36947472
150,1575,2222.149902,1435.199951,1846.949951,1846.027588,7.521290882
151,1850,1921.699951,1611.349976,1722.699951,1721.839722,7.451648078
152,1650,1685,1261.599976,1315.650024,1314.993042,7.182086137
153,1300,1905.949951,1103.75,1879.5,1878.561401,7.538761063
154,1966.699951,2135,1820.599976,1896.199951,1895.253052,7.547607137
155,1917,1985,1651.349976,1876.550049,1875.612915,7.53719029
156,1837,1861,1695.25,1740.650024,1739.780762,7.462013899
157,1740.650024,1825,1573,1750.449951,1749.575806,7.467628149
